title,prog_code,genre,air_date,air_time,Duration
Sítio do Picapau Amarelo,SH016312220000,"Children,Entertainment,Animated",20151219,132300,10.0
Good Day Atlanta 7:00am,SH013296670000,News,20151221,120000,60.0
WordWorld,EP009488180011,"Children,Educational,Animated",20151213,193000,30.0
The Gate of Revolt,SH021653770000,Music,20151213,30000,60.0
Blaze and the Monster Machines,EP020169630012,"Children,Fantasy,Adventure,Educational,Animated",20151227,183000,30.0
WordWorld,EP009488180082,"Children,Educational,Animated",20151115,143000,30.0
12 O'Clock Boys,MV005732140000,Documentary,20151123,53500,85.0
Mark Vereen,SH014823250000,Special,20151114,53000,30.0
Halloween Wars,EP014704950019,"Reality,Cooking",20151024,180000,60.0
Blaze and the Monster Machines,EP020169630024,"Children,Fantasy,Adventure,Educational,Animated",20151101,3000,30.0
Local Radar,SH005027760000,Weather,20151122,30000,300.0
Best Pan Ever!,SH023078760000,Consumer,20151206,173000,30.0
Deep Rising,MV000551730000,"Horror,Suspense",20151026,130500,115.0
Houston Rockets Team Preview,SH022732270000,"Special,Sports non-event,Basketball",20151025,150000,30.0
Halloween Wars,EP014704950012,"Reality,Cooking",20151101,70000,60.0
ABC 36 News Saturday,SH021440760000,News,20151205,233000,30.0
Mark Vereen,SH014823250000,Special,20151128,53000,30.0
Sítio do Picapau Amarelo,SH016312220000,"Children,Entertainment,Animated",20151128,132700,11.0
Eyewitness News at 5:30am,SH003338470000,News,20151120,113000,30.0
Consulta Erótica,SH017634570000,Adults only,20151017,180000,30.0
Blaze and the Monster Machines,EP020169630017,"Children,Fantasy,Adventure,Educational,Animated",20151130,3000,30.0
Star of A&E's Hit Reality Show,SH021831250000,Consumer,20151130,70500,60.0
Blaze and the Monster Machines,EP020169630017,"Children,Fantasy,Adventure,Educational,Animated",20151217,80000,24.0
Piya Rangrezz,SH021637160000,"Drama,Romance",20151217,20000,30.0
Studio Sessions: Live From FM 91,EP011063590052,Music,20151018,153000,30.0
WordWorld,EP013287580068,"Children,Educational,Animated",20151018,163000,30.0
Blaze and the Monster Machines,EP020169630011,"Children,Fantasy,Adventure,Educational,Animated",20151113,32400,24.0
Blaze and the Monster Machines,EP020169630016,"Children,Fantasy,Adventure,Educational,Animated",20151105,213000,30.0
Local Radar,SH005027760000,Weather,20150614,70000,180.0
Guía Paranormal,SH010977840000,Educational,20151029,90000,60.0
Good Day Atlanta 7:00am,SH013296670000,News,20151029,110000,60.0
WordWorld,EP009488180137,"Children,Educational,Animated",20151222,90000,30.0
Songs That Don't Suck,SH018690980000,Music,20151221,130000,60.0
WordWorld,SH013287580000,"Children,Educational,Animated",20150621,113000,30.0
WordWorld,EP009488180073,"Children,Educational,Animated",20151012,163000,30.0
TeenNick Top 10,EP016676970094,"Children,Music,Entertainment",20151011,150000,60.0
Local Radar,SH005027760000,Weather,20151011,100000,240.0
Songs That Don't Suck,SH018690980000,Music,20151012,0,60.0
WordWorld,EP009488180066,"Children,Educational,Animated",20151010,160000,30.0
Amateur,SH014665850000,Adults only,20150725,73000,30.0
Forgotten Four: Integration,SH019669900000,"Special,Documentary,Sports non-event",20150725,105000,60.0
2014 LBJ Civil Rights Summit,EP019409840008,Community,20150726,80000,60.0
Guía Paranormal,SH010977840000,Educational,20150726,50000,60.0
Star of A&E's Hit Reality Show,SH021831250000,Consumer,20150727,70000,60.0
Star of A&E's Hit Reality Show,SH021831250000,Consumer,20150727,100000,60.0
The Dead Girl,MV001892630000,"Drama,Mystery,Suspense",20150613,53500,95.0
Screw My Wife Please: Live &...,MV003639650000,Adults only,20150613,150000,60.0
Local Radar,SH005027760000,Weather,20150613,220000,240.0
WordWorld,SH013287580000,"Children,Educational,Animated",20150613,113000,30.0
PCN Early PM - pcntv.com,SH010904790000,Public affairs,20151210,210000,105.0
Songs That Don't Suck,SH018690980000,Music,20151210,200000,60.0
Eyewitness News at 5:30am,SH021732810000,News,20151211,103000,30.0
Halloween Wars,EP014704950013,"Reality,Cooking",20151004,30000,60.0
Star of A&E's Hit Reality Show,SH021831250000,Consumer,20151005,73000,60.0
NCSU Coaches Show,SH019566340000,Sports non-event,20151214,43500,30.0
Global With Matthew Amroliwala,SH019991040000,News,20151215,150000,30.0
The Gate of Revolt,SH021653770000,Music,20151215,70000,60.0
Local Radar,SH005027760000,Weather,20150906,220000,240.0
Change Point Television,SH005215810000,Religious,20150906,100000,30.0
Brooklyn Kinda Love,SH014194010000,Adults only,20150906,123000,30.0
Brooklyn Kinda Love,SH014194010000,Adults only,20150907,73000,30.0
WordWorld,EP009488180012,"Children,Educational,Animated",20150627,110000,30.0
Cross Over,SH019504950000,null,20150627,141500,45.0
WordWorld,SH013287580000,"Children,Educational,Animated",20151203,123000,30.0
Piya Rangrezz,SH021637160000,"Drama,Romance",20151204,150000,30.0
Eyewitness News at 5:30am,SH022539040000,News,20151130,103000,30.0
Star of A&E's Hit Reality Show,SH021831250000,Consumer,20151225,110000,60.0
Eyewitness News at 5:30am,SH022539040000,News,20151225,103000,30.0
2015 Year in Review,SH023353980000,"Special,Horse,Sports non-event",20151225,193000,30.0
The Partridge Family,EP000033140094,Sitcom,20150829,210000,30.0
The Gate of Revolt,SH021653770000,Music,20150829,30000,60.0
Good Day Atlanta 7:00am,SH013296670000,News,20151216,120000,60.0
The Guns of Will Sonnett,SH000019710000,"Drama,Western",20151230,133000,30.0
WordWorld,EP009488180011,"Children,Educational,Animated",20150621,110000,30.0
Blaze and the Monster Machines,EP020169630015,"Children,Fantasy,Adventure,Educational,Animated",20150914,20000,30.0
KAMC 28 News at 10p,SH007678370000,News,20150913,33000,35.0
The Gate of Revolt,SH021653770000,Music,20150914,70000,60.0
Local Radar,SH005027760000,Weather,20151102,70000,240.0
WordWorld,SH013287580000,"Children,Educational,Animated",20151204,173000,30.0
Songs That Don't Suck,SH018690980000,Music,20151205,50000,60.0
Local Radar,SH005027760000,Weather,20151223,230000,240.0
Local Radar,SH005027760000,Weather,20151224,110000,240.0
Failure to Launch,MV001746010000,Romance-comedy,20150830,200000,100.0
Beat My 19YO Pink,MV007932700000,Adults only,20150830,203000,90.0
Sugar & Spice,MV001032330000,Comedy,20151003,75500,85.0
Secrets of the Founding Fathers,SH011526430000,"Special,History,Documentary",20151003,40000,120.0
Local Radar,SH005027760000,Weather,20151208,110000,240.0
Local Radar,SH005027760000,Weather,20150801,220000,240.0
Star of A&E's Hit Reality Show,SH021831250000,Consumer,20150802,40000,60.0
KAMC 28 News at 10p,SH007678370000,News,20151124,40000,35.0
CFB Daily,SH015950540000,"Sports non-event,Football",20151123,193000,90.0
Newsmax Now,SH021092480000,"News,Politics",20151123,220000,60.0
Eyewitness News at 5:30am,SH003338470000,News,20151215,113000,30.0
Global With Matthew Amroliwala,SH019991040000,News,20151216,160000,30.0
Global With Matthew Amroliwala,SH019991040000,News,20151116,153000,30.0
Dealing With Diversity,EP004511490016,"Educational,Public affairs",20151104,120000,60.0
Best Pan Ever!,SH023078760000,Consumer,20151202,153000,30.0
Eyewitness News at 5:30am,SH021732810000,News,20151222,103000,30.0
The Guns of Will Sonnett,EP000019710036,"Drama,Western",20151124,133000,30.0
The Gate of Revolt,SH021653770000,Music,20151104,70000,60.0
WordWorld,EP009488180118,"Children,Educational,Animated",20151208,163000,30.0
Songs That Don't Suck,SH018690980000,Music,20151209,0,60.0
Local Radar,SH005027760000,Weather,20150810,140000,240.0
